Year,Crop_Name,Month,Market_Price_per_kg,Demand,State
2025,Sugarcane,July,54.25,Medium,Kerala
2025,Cabbage,April,27.82,Low,Andhra Pradesh
2025,Corn,December,23.25,Low,Gujarat
2025,Carrot,March,84.82,High,Gujarat
2025,Mango,November,59.71,Medium,Karnataka
2025,Potato,September,42.53,Medium,Rajasthan
2025,Potato,December,41.97,Medium,Telangana
2025,Sugarcane,July,64.45,Medium,Rajasthan
2025,Cabbage,December,15.95,Low,Tamil Nadu
2025,Corn,October,14.91,Low,Andhra Pradesh
2025,Cabbage,April,87.29,High,Telangana
2025,Banana,August,49.88,Medium,Uttar Pradesh
2025,Cabbage,April,47.67,Medium,Karnataka
2025,Rice,October,137.72,High,Andhra Pradesh
2025,Beans,September,38.63,Medium,Telangana
2025,Chilli,October,13.76,Low,Kerala
2025,Rice,July,54.07,Medium,Telangana
2025,Cotton,July,12.51,Low,Tamil Nadu
2025,Wheat,November,18.85,Low,Uttar Pradesh
2025,Carrot,April,149.69,High,Gujarat
2025,Corn,December,89.67,High,Rajasthan
2025,Potato,September,92.03,High,Andhra Pradesh
2025,Corn,May,66.25,Medium,Andhra Pradesh
2025,Banana,April,14.79,Low,Andhra Pradesh
2025,Cotton,January,11.34,Low,Kerala
2025,Chilli,December,40.57,Medium,Rajasthan
2025,Carrot,January,18.47,Low,Karnataka
2025,Cabbage,January,88.84,High,Karnataka
2025,Mango,October,22.11,Low,Gujarat
2025,Beans,June,26.2,Low,Andhra Pradesh
2025,Rice,January,43.07,Medium,Uttar Pradesh
2025,Chilli,April,140.34,High,Andhra Pradesh
2025,Tomato,May,67.38,Medium,Karnataka
2025,Beans,November,117.74,High,Uttar Pradesh
2025,Rice,February,65.34,Medium,Maharashtra
2025,Potato,July,16.49,Low,Rajasthan
2025,Groundnut,December,63.95,Medium,Andhra Pradesh
2025,Sugarcane,December,119.24,High,Maharashtra
2025,Beans,March,57.65,Medium,Rajasthan
2025,Cabbage,March,61.99,Medium,Tamil Nadu
2025,Cabbage,February,35.63,Medium,Telangana
2025,Mango,October,127.35,High,Karnataka
2025,Groundnut,November,130.27,High,Tamil Nadu
2025,Banana,November,99.65,High,Telangana
2025,Beans,February,98.99,High,Punjab
2025,Chilli,April,10.59,Low,Maharashtra
2025,Potato,January,67.58,Medium,Andhra Pradesh
2025,Banana,August,19.7,Low,Tamil Nadu
2025,Onion,December,35.95,Medium,Rajasthan
2025,Beans,June,24.38,Low,Punjab
2025,Cotton,May,80.03,High,Punjab
2025,Wheat,June,30.04,Medium,Karnataka
2025,Onion,June,142.31,High,Maharashtra
2025,Rice,January,147.49,High,Telangana
2025,Corn,October,137.5,High,Karnataka
2025,Wheat,April,61.44,Medium,Uttar Pradesh
2025,Wheat,August,136.08,High,Karnataka
2025,Chilli,April,129.17,High,Andhra Pradesh
2025,Rice,April,106.67,High,Kerala
2025,Cabbage,May,29.81,Low,Tamil Nadu
2025,Potato,August,80.77,High,Rajasthan
2025,Sugarcane,March,41.55,Medium,Kerala
2025,Cotton,January,43.42,Medium,Punjab
2025,Groundnut,July,77.08,High,Rajasthan
2025,Cotton,April,10.18,Low,Kerala
2025,Groundnut,July,19.27,Low,Maharashtra
2025,Banana,June,133.09,High,Uttar Pradesh
2025,Beans,April,15.76,Low,Gujarat
2025,Mango,October,72.2,High,Karnataka
2025,Carrot,October,117.72,High,Punjab
2025,Cotton,May,23.88,Low,Tamil Nadu
2025,Carrot,November,90.4,High,Maharashtra
2025,Cabbage,February,113.85,High,Punjab
2025,Cotton,January,96.46,High,Maharashtra
2025,Groundnut,October,141.25,High,Maharashtra
2025,Sugarcane,July,55.21,Medium,Rajasthan
2025,Cabbage,March,79.15,High,Andhra Pradesh
2025,Potato,October,21.04,Low,Rajasthan
2025,Beans,September,128.56,High,Maharashtra
2025,Banana,February,59.64,Medium,Tamil Nadu
2025,Sugarcane,October,27.04,Low,Kerala
2025,Mango,June,10.19,Low,Gujarat
2025,Banana,January,17.21,Low,Uttar Pradesh
2025,Onion,February,71.93,High,Kerala
2025,Groundnut,June,15.59,Low,Andhra Pradesh
2025,Onion,February,71.44,High,Tamil Nadu
2025,Wheat,July,143.53,High,Karnataka
2025,Chilli,November,38.8,Medium,Maharashtra
2025,Cotton,March,72.26,High,Punjab
2025,Potato,April,141.01,High,Andhra Pradesh
2025,Chilli,April,147.41,High,Rajasthan
2025,Sugarcane,July,102.96,High,Tamil Nadu
2025,Mango,February,27.69,Low,Tamil Nadu
2025,Mango,November,58.17,Medium,Maharashtra
2025,Rice,March,67.21,Medium,Karnataka
2025,Potato,January,42.45,Medium,Punjab
2025,Cotton,July,62.77,Medium,Telangana
2025,Mango,September,25.23,Low,Rajasthan
2025,Sugarcane,June,36.72,Medium,Karnataka
2025,Tomato,June,13.92,Low,Kerala
2025,Mango,August,67.89,Medium,Tamil Nadu
2025,Sugarcane,May,65.42,Medium,Tamil Nadu
2025,Onion,May,34.6,Medium,Kerala
2025,Tomato,October,25.49,Low,Telangana
2025,Tomato,December,24.47,Low,Maharashtra
2025,Tomato,August,75.2,High,Kerala
2025,Tomato,April,101.14,High,Rajasthan
2025,Rice,March,29.62,Low,Gujarat
2025,Corn,February,61.07,Medium,Punjab
2025,Onion,July,82.64,High,Karnataka
2025,Onion,September,108.97,High,Maharashtra
